date,rain_mm_total,gw_mean
2004-12-31,912.5277,10.860750092695588
2005-12-31,871.1305,11.983907066052227
2006-12-31,1016.3900000000001,13.03284383000512
2007-12-31,912.46,14.332569252432156
2008-12-31,843.6693,15.238358639228773
2009-12-31,858.2236,15.978347414234511
2010-12-31,995.9215,16.188247695852535
2011-12-31,1096.9282,16.45499007936508
2012-12-31,1188.1036000000001,15.165815906562848
2013-12-31,949.2468,14.047790706605221
2014-12-31,918.4832,13.6742636968766
2015-12-31,879.2586,14.189243727598566
2016-12-31,917.1301000000001,14.854282721542454
2017-12-31,1000.0889,15.858341717869942
2018-12-31,1107.0561,16.653118983614952
2019-12-31,1158.9774,17.373031298003074
2020-12-31,1170.5563,17.861864973427263
2021-12-31,913.8696,18.240155913978494
2022-12-31,1092.4473,18.75883922171019
2023-12-31,1019.1066,19.16723611111111
2024-12-31,434.7022,19.154480163144235
